Sprengel_Nr,Georg Willi,Johannes Anzengruber,Gewinner
000,40.41,59.59,Johannes Anzengruber
-01,47.03,52.97,Johannes Anzengruber
001,60.44,39.56,Georg Willi
010,55.87,44.13,Georg Willi
011,66.8,33.2,Georg Willi
012,49.4,50.6,Johannes Anzengruber
013,53.16,46.84,Georg Willi
020,53.85,46.15,Georg Willi
021,58.62,41.38,Georg Willi
030,58.97,41.03,Georg Willi
031,60.59,39.41,Georg Willi
032,58.09,41.91,Georg Willi
040,53.06,46.94,Georg Willi
041,58.5,41.5,Georg Willi
050,38.3,61.7,Johannes Anzengruber
051,51.77,48.23,Georg Willi
052,58.01,41.99,Georg Willi
060,52.33,47.67,Georg Willi
070,56.47,43.53,Georg Willi
071,46.39,53.61,Johannes Anzengruber
072,37.26,62.74,Johannes Anzengruber
073,54.63,45.37,Georg Willi
074,40.91,59.09,Johannes Anzengruber
075,44.9,55.1,Johannes Anzengruber
080,18.49,81.51,Johannes Anzengruber
081,27.36,72.64,Johannes Anzengruber
100,55.94,44.06,Georg Willi
101,59.39,40.61,Georg Willi
102,52.24,47.76,Georg Willi
103,63.68,36.32,Georg Willi
104,45.23,54.77,Johannes Anzengruber
110,61.01,38.99,Georg Willi
111,57.52,42.48,Georg Willi
112,56.27,43.73,Georg Willi
113,65.07,34.93,Georg Willi
114,64.86,35.14,Georg Willi
115,45.7,54.3,Johannes Anzengruber
120,37.67,62.33,Johannes Anzengruber
130,62.63,37.37,Georg Willi
131,37.68,62.32,Johannes Anzengruber
132,47.22,52.78,Johannes Anzengruber
133,17.09,82.91,Johannes Anzengruber
140,23.46,76.54,Johannes Anzengruber
150,39.92,60.08,Johannes Anzengruber
151,25.5,74.5,Johannes Anzengruber
200,42.72,57.28,Johannes Anzengruber
201,36.56,63.44,Johannes Anzengruber
202,31.22,68.78,Johannes Anzengruber
203,18.02,81.98,Johannes Anzengruber
210,40.0,60.0,Johannes Anzengruber
211,52.01,47.99,Georg Willi
212,37.39,62.61,Johannes Anzengruber
213,12.31,87.69,Johannes Anzengruber
214,48.92,51.08,Johannes Anzengruber
215,38.1,61.9,Johannes Anzengruber
220,31.61,68.39,Johannes Anzengruber
221,24.37,75.63,Johannes Anzengruber
222,30.15,69.85,Johannes Anzengruber
223,23.63,76.37,Johannes Anzengruber
230,38.49,61.51,Johannes Anzengruber
231,26.95,73.05,Johannes Anzengruber
232,26.18,73.82,Johannes Anzengruber
240,36.59,63.41,Johannes Anzengruber
241,35.34,64.66,Johannes Anzengruber
242,24.56,75.44,Johannes Anzengruber
243,34.16,65.84,Johannes Anzengruber
244,24.31,75.69,Johannes Anzengruber
245,29.73,70.27,Johannes Anzengruber
246,17.89,82.11,Johannes Anzengruber
250,32.43,67.57,Johannes Anzengruber
251,20.53,79.47,Johannes Anzengruber
252,23.89,76.11,Johannes Anzengruber
253,19.46,80.54,Johannes Anzengruber
254,27.56,72.44,Johannes Anzengruber
255,15.02,84.98,Johannes Anzengruber
256,14.91,85.09,Johannes Anzengruber
257,27.81,72.19,Johannes Anzengruber
260,19.82,80.18,Johannes Anzengruber
261,17.56,82.44,Johannes Anzengruber
262,27.91,72.09,Johannes Anzengruber
263,22.15,77.85,Johannes Anzengruber
264,22.32,77.68,Johannes Anzengruber
265,24.4,75.6,Johannes Anzengruber
300,47.14,52.86,Johannes Anzengruber
301,34.33,65.67,Johannes Anzengruber
302,48.35,51.65,Johannes Anzengruber
303,51.72,48.28,Georg Willi
304,52.2,47.8,Georg Willi
305,53.07,46.93,Georg Willi
306,55.05,44.95,Georg Willi
307,48.48,51.52,Johannes Anzengruber
310,42.86,57.14,Johannes Anzengruber
320,48.59,51.41,Johannes Anzengruber
321,53.94,46.06,Georg Willi
322,47.81,52.19,Johannes Anzengruber
323,47.37,52.63,Johannes Anzengruber
324,47.9,52.1,Johannes Anzengruber
325,42.59,57.41,Johannes Anzengruber
330,42.66,57.34,Johannes Anzengruber
331,45.99,54.01,Johannes Anzengruber
332,45.41,54.59,Johannes Anzengruber
333,44.96,55.04,Johannes Anzengruber
334,39.82,60.18,Johannes Anzengruber
335,42.57,57.43,Johannes Anzengruber
336,47.72,52.28,Johannes Anzengruber
337,38.82,61.18,Johannes Anzengruber
340,41.08,58.92,Johannes Anzengruber
341,43.18,56.82,Johannes Anzengruber
342,29.28,70.72,Johannes Anzengruber
343,45.22,54.78,Johannes Anzengruber
344,41.46,58.54,Johannes Anzengruber
345,34.07,65.93,Johannes Anzengruber
350,50.46,49.54,Georg Willi
351,52.25,47.75,Georg Willi
352,49.06,50.94,Johannes Anzengruber
353,44.52,55.48,Johannes Anzengruber
354,49.46,50.54,Johannes Anzengruber
355,34.24,65.76,Johannes Anzengruber
356,18.15,81.85,Johannes Anzengruber
360,34.29,65.71,Johannes Anzengruber
361,37.61,62.39,Johannes Anzengruber
400,41.37,58.63,Johannes Anzengruber
401,41.49,58.51,Johannes Anzengruber
402,48.25,51.75,Johannes Anzengruber
430,25.36,74.64,Johannes Anzengruber
431,26.18,73.82,Johannes Anzengruber
500,34.26,65.74,Johannes Anzengruber
501,19.44,80.56,Johannes Anzengruber
510,23.19,76.81,Johannes Anzengruber
511,25.42,74.58,Johannes Anzengruber
512,31.27,68.73,Johannes Anzengruber
513,36.59,63.41,Johannes Anzengruber
600,27.12,72.88,Johannes Anzengruber
601,26.82,73.18,Johannes Anzengruber
610,38.2,61.8,Johannes Anzengruber
611,38.0,62.0,Johannes Anzengruber
612,28.92,71.08,Johannes Anzengruber
620,28.27,71.73,Johannes Anzengruber
621,23.79,76.21,Johannes Anzengruber
630,12.92,87.08,Johannes Anzengruber
631,21.39,78.61,Johannes Anzengruber
632,18.55,81.45,Johannes Anzengruber
633,8.54,91.46,Johannes Anzengruber
634,21.47,78.53,Johannes Anzengruber
635,6.53,93.47,Johannes Anzengruber
700,39.16,60.84,Johannes Anzengruber
800,43.16,56.84,Johannes Anzengruber
801,41.51,58.49,Johannes Anzengruber
802,29.65,70.35,Johannes Anzengruber
901,48.15,51.85,Johannes Anzengruber
902,43.21,56.79,Johannes Anzengruber
903,41.33,58.67,Johannes Anzengruber
904,51.47,48.53,Georg Willi
905,14.71,85.29,Johannes Anzengruber
930,0.0,0.0,Georg Willi
